Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -189.9046399500221, 69.05351278185844, -423.7063556299545, -437.6000839653425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372103584E9, 0.0, 2025-08-29 13:40:37.210
1.0, -128.3402768294327, -138.20052306260914, -658.181253301911, -195.09375113854185, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372237475E9, 0.0, 2025-08-29 13:40:37.223
1.0, 72.51105029089376, 17.139961496926844, -809.8977748043835, -352.0012537795119, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372237475E9, 0.0, 2025-08-29 13:40:37.223
2.0, 86.39729882637039, 146.4806615645066, -929.6344117857516, -470.4177060765214, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756485637255636E9, 0.0, 2025-08-29 13:40:37.255
2.0, -120.16111562633887, -66.15135041624308, -684.8990985853598, -235.67914545768872, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756485637255636E9, 0.0, 2025-08-29 13:40:37.255
3.0, -167.25206591840833, -41.04166211374104, -705.3488715430722, -236.45330474851653, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372564583E9, 0.0, 2025-08-29 13:40:37.256
3.0, -246.66323162754998, 152.9207692882046, -942.2378746364266, -468.0653090043925, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372564583E9, 0.0, 2025-08-29 13:40:37.256
4.0, -431.3806303390302, 13.078430145047605, -775.1802835157141, -309.8750206786208, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756485637257134E9, 0.0, 2025-08-29 13:40:37.257
4.0, -432.09121133061126, -108.25140421744436, -639.8370440192521, -175.6612309687771, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756485637257134E9, 0.0, 2025-08-29 13:40:37.257
5.0, -264.6671100142412, 107.61188132502139, -878.7119339890778, -413.60114594968036, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372578647E9, 0.0, 2025-08-29 13:40:37.257
5.0, -155.3292648596689, 104.53768356144428, -878.5137192914262, -413.33935295278206, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372578647E9, 0.0, 2025-08-29 13:40:37.257
6.0, -109.65199675085023, -106.65446693636477, -641.7443929966539, -655.0023383395746, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372685688E9, 0.0, 2025-08-29 13:40:37.268
6.0, 82.78455546917394, 46.898345444351435, -784.1822227090597, -799.5868706265464, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372685688E9, 0.0, 2025-08-29 13:40:37.268
7.0, 92.19040385773405, 145.70650227367878, -931.306147065945, -960.492326320149, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372999673E9, 0.0, 2025-08-29 13:40:37.299
7.0, -110.24664084380493, -76.79136579018086, -704.2867399556562, -731.1878403369337, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856372999673E9, 0.0, 2025-08-29 13:40:37.299
8.0, -167.84671001136303, -42.56380139570683, -689.7422690279782, -719.6053701741621, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75648563730069E9, 0.0, 2025-08-29 13:40:37.300
8.0, -244.81198114948347, 162.0797842796892, -924.0769204515964, -955.6454159775749, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75648563730069E9, 0.0, 2025-08-29 13:40:37.300
9.0, -423.4333429331891, 14.121862232685089, -818.0395370079204, -828.8665473796427, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756485637301427E9, 0.0, 2025-08-29 13:40:37.301
9.0, -448.18400083994493, -106.29917644057423, -642.3577365893871, -661.5135041624308, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756485637301427E9, 0.0, 2025-08-29 13:40:37.301
10.0, -270.31061904737726, 116.44552502036095, -864.9565819520503, -874.5382056385279, 0.0, 0.04800000227987766, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756485637313521E9, 0.0, 2025-08-29 13:40:37.313
10.0, -128.360846279189, 106.54226993769407, -867.9597216164693, -888.345916274935, 0.0, 0.04800000227987766, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756485637313521E9, 0.0, 2025-08-29 13:40:37.313
11.0, -124.41712177591398, -120.15550577640533, -661.9772517569363, -678.4290716620162, 0.0, 0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856373292673E9, 0.0, 2025-08-29 13:40:37.329
11.0, 67.54446314973757, 35.53278947900981, -774.9222304187715, -814.957859444432, 0.0, 0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856373292673E9, 0.0, 2025-08-29 13:40:37.329
12.0, 113.44799520587549, 157.80507863033563, -909.2407373273745, -957.1301562599838, 0.0, 0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756485637329987E9, 0.0, 2025-08-29 13:40:37.329
12.0, -95.08882632339373, -69.06099258176982, -697.2071093395352, -725.4807530045509, 0.0, 0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756485637329987E9, 0.0, 2025-08-29 13:40:37.329
13.0, -178.20623288862407, -43.34170058649033, -677.2210839763284, -695.6101720584556, 0.0, 0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856373435335E9, 0.0, 2025-08-29 13:40:37.343
13.0, -254.47962253494188, 154.5588454687968, -905.568155570887, -927.8392598070204, 0.0, 0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564856373435335E9, 0.0, 2025-08-29 13:40:37.343
