Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
56.0, 154.85803746525198, -20.646117705386132, -73.89668322447687, 142.31441301386803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75646946831256E9, 0.0, 2025-08-29 09:11:08.312
56.0, 257.9296802440658, -66.79835310857743, 104.7919967584312, 75.51418995531276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75646946831256E9, 0.0, 2025-08-29 09:11:08.312
0.0, -146.97806825861335, -2118.24754575314, -2290.4063604134135, -2236.527491701767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694683388455E9, 0.0, 2025-08-29 09:11:08.338
1.0, -46.17654475290328, -2348.0326088806614, -2447.62053485075, -2155.2089770152234, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694683523767E9, 0.0, 2025-08-29 09:11:08.352
1.0, 133.5480875177309, -2331.5920086754486, -2284.1981264869682, -2216.1525167431682, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694683523767E9, 0.0, 2025-08-29 09:11:08.352
2.0, -78.05545197520405, -2389.515579189174, -2528.548229991924, -2071.7942484035157, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694683690903E9, 0.0, 2025-08-29 09:11:08.369
2.0, -146.7349747614935, -2225.9903235766105, -2676.5510308383964, -1934.227638383396, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694683690903E9, 0.0, 2025-08-29 09:11:08.369
3.0, -349.01681361487135, -2199.149061594624, -2713.0206652563065, -2039.5226516858675, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468369832E9, 0.0, 2025-08-29 09:11:08.369
3.0, -489.0611073556356, -1990.8123247129843, -2571.723505030386, -2144.6269300905988, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468369832E9, 0.0, 2025-08-29 09:11:08.369
4.0, -651.499922031071, -2016.2473843116313, -2737.8049822626635, -2091.2118089734577, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694683821435E9, 0.0, 2025-08-29 09:11:08.382
4.0, -419.86547837546095, -1937.7581039415672, -2939.959664517548, -2182.291462544352, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694683821435E9, 0.0, 2025-08-29 09:11:08.382
5.0, -416.27143451804295, -2144.8494541379623, -2847.16526681697, -2376.82422868954, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694683978791E9, 0.0, 2025-08-29 09:11:08.397
5.0, -631.2932425704785, -2094.306576186791, -2729.16581336502, -2198.9863759465516, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694683978791E9, 0.0, 2025-08-29 09:11:08.397
6.0, -530.47301956499, -1860.682505754754, -2922.9113305695355, -2131.3895541974343, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468398589E9, 0.0, 2025-08-29 09:11:08.398
6.0, -357.57370471348986, -1841.9418670767918, -2755.6667444510385, -2192.048861528747, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468398589E9, 0.0, 2025-08-29 09:11:08.398
7.0, -562.3519267872907, -1865.290062500164, -2986.22409691941, -2036.1417821259238, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684121945E9, 0.0, 2025-08-29 09:11:08.412
7.0, -617.2947970363311, -1734.298196602147, -3156.109052406624, -1918.1909473733976, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684121945E9, 0.0, 2025-08-29 09:11:08.412
8.0, -828.9413453787565, -1715.2097472283058, -3189.4857895611785, -2026.803251936566, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684278586E9, 0.0, 2025-08-29 09:11:08.427
8.0, -970.1487480057403, -1480.2000438626856, -3022.428198440466, -2111.962643877603, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684278586E9, 0.0, 2025-08-29 09:11:08.427
9.0, -1139.8990670945495, -1500.2720869248733, -3188.6630115709268, -2056.1203276892193, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684286025E9, 0.0, 2025-08-29 09:11:08.428
9.0, -898.3426688564941, -1438.4253613576293, -3418.881903093308, -2167.855448715389, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684286025E9, 0.0, 2025-08-29 09:11:08.428
10.0, -900.4108335319906, -1627.5726715666242, -3291.3475747043267, -2336.4183495682664, 0.0, 0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468442144E9, 0.0, 2025-08-29 09:11:08.442
10.0, -1107.6536496765912, -1574.8269925415516, -3187.118432889227, -2158.337403328158, 0.0, 0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468442144E9, 0.0, 2025-08-29 09:11:08.442
11.0, -1008.55378065072, -1370.7780509591103, -3401.8373090452515, -2128.580889330711, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684578848E9, 0.0, 2025-08-29 09:11:08.457
11.0, -841.4026920311153, -1335.8960040723905, -3227.240079613868, -2184.000596824102, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684578848E9, 0.0, 2025-08-29 09:11:08.457
12.0, -1039.5538113834336, -1349.2698863139376, -3445.164050031919, -2015.6882692682557, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684585829E9, 0.0, 2025-08-29 09:11:08.458
12.0, -1105.738820899278, -1231.386369760614, -3641.041310211178, -1919.3540562596172, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684585829E9, 0.0, 2025-08-29 09:11:08.458
13.0, -1318.4213215294294, -1211.0413140016608, -3702.2055040365085, -2037.2749718124978, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468472142E9, 0.0, 2025-08-29 09:11:08.472
13.0, -1454.060013122391, -973.2117260694504, -3510.846043003723, -2104.7109778635204, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468472142E9, 0.0, 2025-08-29 09:11:08.472
14.0, -1622.3031525290571, -1010.0048618335277, -3680.031637199223, -2043.8871149341576, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684878263E9, 0.0, 2025-08-29 09:11:08.487
14.0, -1385.9190359297208, -964.5912566715851, -3449.6949388282374, -2190.1115933516994, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684878263E9, 0.0, 2025-08-29 09:11:08.487
15.0, -1384.2435607495718, -1136.1348577891476, -3299.4332384085283, -2337.2261679586954, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684885347E9, 0.0, 2025-08-29 09:11:08.488
15.0, -1590.633679704275, -1076.4741037460044, -3168.082342114765, -2138.414956264198, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694684885347E9, 0.0, 2025-08-29 09:11:08.488
16.0, -1493.1382277593948, -888.7573052700609, -2939.4603878734633, -2145.505806580186, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685021763E9, 0.0, 2025-08-29 09:11:08.502
16.0, -1326.940813628491, -851.4256239123642, -2779.385189970024, -2205.0805429243483, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685021763E9, 0.0, 2025-08-29 09:11:08.502
17.0, -1527.9118175473996, -899.8348889388144, -3004.3813112042844, -2053.7174419676885, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685178704E9, 0.0, 2025-08-29 09:11:08.517
17.0, -1606.3786585177295, -833.77142617153, -2827.833723946009, -2076.227899800986, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685178704E9, 0.0, 2025-08-29 09:11:08.517
18.0, -1807.5983657836914, -782.6357740773819, -2867.6954476237297, -2168.7025360553525, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685185328E9, 0.0, 2025-08-29 09:11:08.518
18.0, -1932.4998046038672, -980.1211912375875, -3088.7179251550697, -2154.610593022313, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685185328E9, 0.0, 2025-08-29 09:11:08.518
19.0, -2105.3467608559877, -1023.3207756257616, -3252.087974919472, -2102.4670378901064, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468532158E9, 0.0, 2025-08-29 09:11:08.532
19.0, -1874.3032213933766, -996.2214605468325, -3061.278279180173, -2268.7186805703677, 0.0, 0.03200000151991844, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468532158E9, 0.0, 2025-08-29 09:11:08.532
20.0, -1864.325168311596, -1132.1238150866702, -2866.2761555905454, -2385.0089997425675, 0.0, 0.03200000151991844, 0.7200000341981649, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468547861E9, 0.0, 2025-08-29 09:11:08.547
20.0, -2074.3916089227423, -1070.5519721661694, -2701.8533239886165, -2156.6937172976322, 0.0, 0.03200000151991844, 0.7200000341981649, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468547861E9, 0.0, 2025-08-29 09:11:08.547
21.0, -1997.6339022321627, -922.6501486185007, -2520.0062984931283, -2208.483851884026, 0.0, 0.04800000227987766, 0.7200000341981649, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468548561E9, 0.0, 2025-08-29 09:11:08.548
21.0, -1808.2603280758485, -849.161114489194, -2322.8986112284474, -2231.9012354565784, 0.0, 0.04800000227987766, 0.7200000341981649, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756469468548561E9, 0.0, 2025-08-29 09:11:08.548
22.0, -2017.7134250942618, -825.9344658143818, -2440.8625356308185, -2473.1135628987104, 0.0, 0.04800000227987766, 0.7200000341981649, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685622063E9, 0.0, 2025-08-29 09:11:08.562
22.0, -2079.545191061683, -765.3611761820503, -2220.221527894959, -2446.4910850641318, 0.0, 0.04800000227987766, 0.7200000341981649, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685622063E9, 0.0, 2025-08-29 09:11:08.562
23.0, -2292.051916393917, -757.9673939696513, -2317.1952637960203, -2601.949376472272, 0.0, 0.04800000227987766, 0.7200000341981649, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685778236E9, 0.0, 2025-08-29 09:11:08.577
23.0, -2430.0205656592734, -925.4662932851352, -2503.257156541571, -2559.4641129756346, 0.0, 0.04800000227987766, 0.7200000341981649, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685778236E9, 0.0, 2025-08-29 09:11:08.577
24.0, -2600.8666754350998, -990.8397445105948, -2683.8195264022797, -2517.9867525170557, 0.0, 0.04800000227987766, 0.7200000341981649, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564694685785513E9, 0.0, 2025-08-29 09:11:08.578
