Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
65.0, -232.5712885945104, 75.09719111025333, 132.32888013217598, 131.55098094139248, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902042809E9, 0.0, 2025-08-29 12:13:10.204
65.0, -198.20534790167585, 4.658045394811779, 47.92307803221047, 81.14086943864822, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902042809E9, 0.0, 2025-08-29 12:13:10.204
0.0, 410.4633698868565, 434.61938370065764, 109.89509024797007, 19.51292801881209, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902330732E9, 0.0, 2025-08-29 12:13:10.233
1.0, 355.2287874412723, 639.8108647195622, 95.52265471825376, 6.053028078284115, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902464447E9, 0.0, 2025-08-29 12:13:10.246
1.0, 479.81607466517016, 445.3454167735763, 187.6214310270734, 103.94116951851174, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902464447E9, 0.0, 2025-08-29 12:13:10.246
2.0, 452.05292734410614, 539.6095951567404, 141.32146957563236, 47.939907582011074, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756480390263142E9, 0.0, 2025-08-29 12:13:10.263
2.0, 538.035097275395, 386.1689797746949, 79.49718340812251, -11.236529416870326, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756480390263142E9, 0.0, 2025-08-29 12:13:10.263
3.0, 319.8044550609775, 189.24828750779852, 170.36553263152018, 71.54615610232577, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902638924E9, 0.0, 2025-08-29 12:13:10.263
3.0, 387.40314676007256, 0.9087956892326474, 184.9174833591096, 86.75632922211662, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902638924E9, 0.0, 2025-08-29 12:13:10.263
4.0, 256.90307770622894, 193.86706395307556, 93.47692944249138, 1.8344209282658994, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902762518E9, 0.0, 2025-08-29 12:13:10.276
4.0, 269.10450131166726, 70.54012301424518, 125.1912810667418, 32.78583296155557, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902762518E9, 0.0, 2025-08-29 12:13:10.276
5.0, 207.29330479400232, 258.75058828433976, 191.20051528466865, 88.51034230133519, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902920046E9, 0.0, 2025-08-29 12:13:10.292
5.0, 417.72251570085064, 440.0085795368068, 115.39648308278993, 21.06872640037909, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902920046E9, 0.0, 2025-08-29 12:13:10.292
6.0, 361.3697031685151, 644.6577750621364, 87.6913042110391, 1.7035244298167527, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902926888E9, 0.0, 2025-08-29 12:13:10.292
6.0, 482.63221933180466, 444.35434328531846, 183.5823390749283, 86.27388212783262, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803902926888E9, 0.0, 2025-08-29 12:13:10.292
7.0, 448.42148448713124, 547.0706955683418, 146.92757960921153, 43.429588235449046, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803903062248E9, 0.0, 2025-08-29 12:13:10.306
7.0, 541.4309264351614, 394.84928757185116, 78.70432461751625, -15.48505576653406, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803903062248E9, 0.0, 2025-08-29 12:13:10.306
8.0, 321.4948898409493, 186.15913014439866, 162.99044991889969, 70.18857241841033, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803903219583E9, 0.0, 2025-08-29 12:13:10.321
8.0, 386.2437777738087, -3.653882256709039, 180.93822980625555, 74.11920727184042, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7564803903219583E9, 0.0, 2025-08-29 12:13:10.321
9.0, 263.31326623028144, 203.09713704371825, 85.46980363735929, -3.9960831026546657, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756480390322684E9, 0.0, 2025-08-29 12:13:10.322
