Log de tempos
00:20:46
01:08:21
01:56:91
02:30:95
03:19:30
03:28:11
04:01:21
04:44:21
05:16:35
06:04:06
06:44:00
07:57:00
08:07:81
09:00:60
09:45:30
09:59:30
11:01:26
11:47:51
13:44:60
14:47:20
15:58:50
16:51:70
