Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
89.0, -66.2897267146036, -132.38310868153349, 205.28871841775253, 243.37211966654286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863874920352E9, 0.0, 2025-08-28 10:06:27.492
89.0, -166.37131947884336, -219.1226083538495, 341.9558824985288, 368.84950307989493, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863874920352E9, 0.0, 2025-08-28 10:06:27.492
0.0, -3308.926974446047, -552.4898106041364, -12379.613008777145, -11867.67867329251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875159328E9, 0.0, 2025-08-28 10:06:27.515
1.0, -3340.24863657495, -777.4317032890394, -12467.235124839004, -11942.558950205334, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875294704E9, 0.0, 2025-08-28 10:06:27.529
1.0, -3471.937993814703, -914.4765972653404, -12357.04832239449, -11813.268738787156, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875294704E9, 0.0, 2025-08-28 10:06:27.529
2.0, -3386.8926688223146, -1039.0863238889724, -12153.081658611074, -11635.806745989714, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875625136E9, 0.0, 2025-08-28 10:06:27.562
2.0, -3320.6665204069577, -845.1538116866723, -11930.146222252399, -11427.277404260356, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875625136E9, 0.0, 2025-08-28 10:06:27.562
3.0, -3425.540794964414, -778.1348044807091, -11767.986030123662, -11225.126461905427, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875633016E9, 0.0, 2025-08-28 10:06:27.563
3.0, -3380.4637807984836, -974.9133805492893, -11746.83315597428, -11206.797212222591, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875633016E9, 0.0, 2025-08-28 10:06:27.563
4.0, -3269.1493985173292, -939.1748965727165, -11840.298865716904, -11281.986030881759, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875639696E9, 0.0, 2025-08-28 10:06:27.563
4.0, -3337.7690829043277, -708.5726653048769, -11597.835541739594, -11050.974280568771, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875639696E9, 0.0, 2025-08-28 10:06:27.563
5.0, -3380.0673514031805, -926.4891559230164, -11784.329392930027, -11201.419236086309, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875749667E9, 0.0, 2025-08-28 10:06:27.574
5.0, -3273.6784173636697, -979.476058495231, -11870.644413957372, -11317.832971957047, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7563863875749667E9, 0.0, 2025-08-28 10:06:27.574
6.0, -3259.5453354311176, -1195.7900019823574, -11891.595333509147, -11358.063075780403, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75638638757566E9, 0.0, 2025-08-28 10:06:27.575
6.0, -3379.5587250092067, -1330.6620140844025, -11757.764883544762, -11204.033426155336, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75638638757566E9, 0.0, 2025-08-28 10:06:27.575
7.0, -3278.4841888067313, -1445.8546726196073, -11991.046753130853, -10965.270733184181, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75638638758923E9, 0.0, 2025-08-28 10:06:27.589
7.0, -3195.3948314911686, -1272.2148575768806, -12235.57824178366, -10741.763092132285, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75638638758923E9, 0.0, 2025-08-28 10:06:27.589
8.0, -3311.7655585124157, -1222.0366198713891, -12082.689261645079, -10568.9554048297, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756386387604931E9, 0.0, 2025-08-28 10:06:27.604
8.0, -3282.033353864681, -1369.2914407267235, -12079.457988083363, -10544.993865813594, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756386387604931E9, 0.0, 2025-08-28 10:06:27.604
9.0, -3181.79655525228, -1315.2199671673588, -12171.667091440875, -10653.24340008106, 0.0, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.756386387605693E9, 0.0, 2025-08-28 10:06:27.605
