Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
44,15.2961908187717,4.43552134744823,3.63518275693059,30.2034320421517,0,0,0,0,0,0,0,0,1756383177.1004,0, 2025-08-28 09:12:57.100
44,-94.0734434854239,33.2664101058617,-26.1007617907599,100.846402305178,0,0,0,0,0,0,0,0,1756383177.1004,0, 2025-08-28 09:12:57.100
0,-453.659214375075,-3101.45602440415,-6988.09282480553,-9589.5784536833,0,0,0,0,0,0,0,0,1756383177.12666,0, 2025-08-28 09:12:57.126
1,-574.199929846916,-3114.21656305296,-7034.46384435613,-9588.1685114,0,0.0160000007599592,0,0,0,0,0,0,1756383177.14008,0, 2025-08-28 09:12:57.140
1,-523.172734851483,-3104.87803286361,-6995.13879632205,-9568.23110473622,0,0.0160000007599592,0,0,0,0,0,0,1756383177.14008,0, 2025-08-28 09:12:57.140
2,-430.086624954361,-3105.33056075824,-6932.06912346929,-9601.1833632458,0,0.0160000007599592,0,0,0,0,0,0,1756383177.15681,0, 2025-08-28 09:12:57.156
2,-527.376382401679,-3101.72529720096,-6986.14059702866,-9561.21505241934,0,0.0160000007599592,0,0,0,0,0,0,1756383177.15681,0, 2025-08-28 09:12:57.156
3,-551.016290021595,-3080.55746345175,-6952.63483332563,-9511.62771890685,0,0.0160000007599592,0,0,0,0,0,0,1756383177.1575,0, 2025-08-28 09:12:57.157
3,-427.633250583429,-3067.13122261083,-6863.46065878216,-9552.94239371736,0,0.0160000007599592,0,0,0,0,0,0,1756383177.1575,0, 2025-08-28 09:12:57.157
4,-484.879899205174,-3061.85422377335,-6902.53139361925,-9544.83055071347,0,0.0160000007599592,0,0,0,0,0,0,1756383177.1699,0, 2025-08-28 09:12:57.169
4,-559.453504321631,-3037.91512415698,-6944.41827312298,-9510.94705711491,0,0.0160000007599592,0,0,0,0,0,0,1756383177.1699,0, 2025-08-28 09:12:57.169
5,-452.70927978633,-3051.60689789476,-6893.00586843211,-9546.52472539339,0,0.0160000007599592,0,0,0,0,0,0,1756383177.18551,0, 2025-08-28 09:12:57.185
5,-442.873342902865,-3064.9134619371,-6887.07812700234,-9588.00395580195,0,0.0160000007599592,0,0,0,0,0,0,1756383177.18551,0, 2025-08-28 09:12:57.185
6,-536.864508589264,-3030.74199604196,-6958.54013535567,-9541.90594894811,0,0.0160000007599592,0,0,0,0,0,0,1756383177.18627,0, 2025-08-28 09:12:57.186
6,-491.708956524264,-3035.32337348768,-6893.29758062866,-9525.94779583719,0,0.0160000007599592,0,0,0,0,0,0,1756383177.18627,0, 2025-08-28 09:12:57.186
7,-402.942431075964,-3038.07593985507,-6858.86432173662,-9569.17355952505,0,0.0160000007599592,0,0,0,0,0,0,1756383177.19987,0, 2025-08-28 09:12:57.199
7,-509.297706015874,-3030.36426614644,-6901.82829242758,-9541.14300935716,0,0.0160000007599592,0,0,0,0,0,0,1756383177.19987,0, 2025-08-28 09:12:57.199
8,-519.395435896236,-3029.47043005703,-6905.96836167853,-9495.40777279902,0,0.0160000007599592,0,0,0,0,0,0,1756383177.21552,0, 2025-08-28 09:12:57.215
8,-396.28166925488,-3007.80144971376,-6804.04112828616,-9497.0047100801,0,0.0160000007599592,0,0,0,0,0,0,1756383177.21552,0, 2025-08-28 09:12:57.215
9,-454.362315566745,-3032.13697872544,-6857.60397545155,-9515.03102786653,0,0.0160000007599592,0,0,0,0,0,0,1756383177.21623,0, 2025-08-28 09:12:57.216
9,-534.085762922186,-3000.17579370411,-6895.70607620012,-9479.62165508605,0,0.0160000007599592,0,0,0,0,0,0,1756383177.21623,0, 2025-08-28 09:12:57.216
10,-417.247548406478,-2997.3072904381,-6790.66724604461,-9481.06899636891,0,0.0160000007599592,0.496000023558736,0,0,0,0,0,1756383177.22983,0, 2025-08-28 09:12:57.229
10,-404.920838152524,-3020.66296566138,-6810.46253651008,-9545.22324020881,0,0.0160000007599592,0.496000023558736,0,0,0,0,0,1756383177.22983,0, 2025-08-28 09:12:57.229
11,-510.513173501473,-3011.09630157473,-6875.25256334245,-9507.22959655896,0,0.0160000007599592,0.496000023558736,0,0,0,0,0,1756383177.24556,0, 2025-08-28 09:12:57.245
11,-458.936213212553,-2973.17745592399,-6835.07855801843,-9477.92374050617,0,0.0160000007599592,0.496000023558736,0,0,0,0,0,1756383177.24556,0, 2025-08-28 09:12:57.245
12,-378.001038271468,-3005.82678253716,-6803.95511058718,-9548.90330176521,0,0.0160000007599592,0.496000023558736,0,0,0,0,0,1756383177.24622,0, 2025-08-28 09:12:57.246
12,-488.698337059934,-3005.93897953583,-6882.76228245348,-9515.60323255975,0,0.0160000007599592,0.496000023558736,0,0,0,0,0,1756383177.24622,0, 2025-08-28 09:12:57.246
13,-499.618844930548,-2995.25782526238,-6883.74213624187,-9482.45275935251,0,0.0160000007599592,0.496000023558736,0,0,0,0,0,1756383177.25985,0, 2025-08-28 09:12:57.259
13,-366.321330709849,-2987.64712885255,-6796.11628028005,-9501.97877702117,0,0.0160000007599592,0.496000023558736,0,0,0,0,0,1756383177.25985,0, 2025-08-28 09:12:57.259
