Log de tempos
00:33:40
00:58:45
01:10:76
01:56:30
02:15:00
02:48:91
03:09:40
03:37:85
03:52:16
04:25:65
04:43:75
05:01:25
05:58:71
06:14:61
06:56:15
07:10:21
07:36:91
08:17:86
08:39:31
09:02:00
11:23:66
11:39:70
12:08:16
12:40:51
