Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0,146.748064411338,496.570826466661,171.999868912157,-145.057629631367,0,0,0,0,0,0,0,0,1756478285.55991,0, 2025-08-29 11:38:05.559
1,191.335151683074,496.697983065154,147.24173120549,-121.204547713976,0,0.0640000030398369,0,0,0,0,0,0,1756478285.57335,0, 2025-08-29 11:38:05.573
1,44.9629472172819,555.526609368157,199.14780269051,-95.3880183198489,0,0.0640000030398369,0,0,0,0,0,0,1756478285.57335,0, 2025-08-29 11:38:05.573
2,93.2674950449728,536.183846797329,207.641115489881,-96.9026778019033,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.59009,0, 2025-08-29 11:38:05.590
2,238.678545222152,512.241007281002,172.99468230037,-133.542477667797,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.59009,0, 2025-08-29 11:38:05.590
3,82.747156469617,544.520083798561,189.835451800842,-117.34871085966,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.59075,0, 2025-08-29 11:38:05.590
3,65.1247478784062,542.885747517925,222.952265908476,-85.2865485395305,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.59075,0, 2025-08-29 11:38:05.590
4,223.741384799127,487.389372075442,181.63759109797,-116.712927867193,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.60313,0, 2025-08-29 11:38:05.603
4,152.82914173929,525.876682519447,170.141138634179,-107.194882479962,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.60313,0, 2025-08-29 11:38:05.603
5,45.9241015058942,560.50441620918,210.543277855497,-78.1096805245616,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.61887,0, 2025-08-29 11:38:05.618
5,149.60160807753,510.625370500144,190.000007398892,-97.4225238957442,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.61887,0, 2025-08-29 11:38:05.618
6,213.942846915219,523.404608648736,151.314482257236,-128.093443432357,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.61961,0, 2025-08-29 11:38:05.619
6,38.0329125993885,565.508402349893,173.593066293281,-119.282239136752,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.61961,0, 2025-08-29 11:38:05.619
7,88.6262791999616,545.997344281059,187.714928525966,-138.995251803193,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.63313,0, 2025-08-29 11:38:05.633
7,244.692304350901,510.322438603733,162.365886626299,-115.901369576808,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.63313,0, 2025-08-29 11:38:05.633
8,75.0953211602755,549.658706337679,166.289041679818,-104.434836312663,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.64885,0, 2025-08-29 11:38:05.648
8,54.1892804079689,557.557375044096,209.615782666486,-80.5368755958043,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.64885,0, 2025-08-29 11:38:05.648
9,224.388387491461,509.282746416051,168.252489156555,-112.887010212522,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.64954,0, 2025-08-29 11:38:05.649
9,140.610888584051,546.958498569671,162.758576121647,-123.153035590891,-0.0160000007599592,0.0640000030398369,0,0,0,0,0,0,1756478285.64954,0, 2025-08-29 11:38:05.649
10,38.3358444957994,576.290533922147,213.54267761996,-87.4407309140079,-0.0160000007599592,0.0640000030398369,0.976000046357513,0,0,0,0,0,1756478285.66307,0, 2025-08-29 11:38:05.663
10,155.331134809647,516.971980724949,186.073112445418,-118.395882847253,-0.0160000007599592,0.0640000030398369,0.976000046357513,0,0,0,0,0,1756478285.66307,0, 2025-08-29 11:38:05.663
11,218.44568646187,534.040884122718,161.213997439947,-124.660215273034,-0.0160000007599592,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.67881,0, 2025-08-29 11:38:05.678
11,47.0647709923796,587.977721283678,197.423708810937,-88.9217312964611,-0.0160000007599592,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.67881,0, 2025-08-29 11:38:05.678
12,124.428341475781,556.472804056946,221.003778031561,-80.6715119942091,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.67955,0, 2025-08-29 11:38:05.679
12,255.859645618591,520.652042281348,174.367225584108,-108.395390365738,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.67955,0, 2025-08-29 11:38:05.679
13,92.4746362543665,573.941876749974,190.93872228777,-112.14277012134,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.69307,0, 2025-08-29 11:38:05.693
13,77.4851172319613,575.538814031053,215.390188198071,-88.7609155983664,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.69307,0, 2025-08-29 11:38:05.693
14,236.614120446611,540.12196145067,186.417183241341,-90.1783376815729,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.70906,0, 2025-08-29 11:38:05.709
14,163.749649609905,561.701184195001,181.409457200672,-94.4717428307049,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.70906,0, 2025-08-29 11:38:05.709
15,64.8405154817738,584.391157226171,210.09822976077,-74.1865254710428,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.70958,0, 2025-08-29 11:38:05.709
15,158.902739267331,518.505339706782,176.080099763814,-102.407810536679,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.70958,0, 2025-08-29 11:38:05.709
16,218.441946561914,524.350803337526,155.817321803886,-113.522793204989,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.72309,0, 2025-08-29 11:38:05.723
16,74.4931972674094,577.760314604733,204.589357126039,-89.4041783907451,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.72309,0, 2025-08-29 11:38:05.723
17,111.768780125771,538.442746370565,208.426494480576,-87.294874815736,0,0.0160000007599592,0.976000046357513,0,0,0,0,0,1756478285.73884,0, 2025-08-29 11:38:05.738
